customer_id,risk_score,fraud_occurrence
cust100000,0.39,0
cust100001,0.13,0
cust100002,0.14,0
cust100003,0.07,0
cust100004,0.3,0
cust100005,0.0,0
cust100006,0.41,1
cust100007,0.11,1
cust100008,0.24,0
cust100009,0.17,0
cust100010,0.38,0
cust100011,0.0,0
cust100012,0.16,0
cust100013,0.15,0
cust100014,0.34,0
cust100015,0.07,0
cust100016,0.18,0
cust100017,0.09,0
cust100018,0.21,0
cust100019,0.27,0
cust100020,0.07,0
cust100021,0.34,0
cust100022,0.31,0
cust100023,0.26,0
cust100024,0.31,0
cust100025,0.12,0
cust100026,0.19,1
cust100027,0.09,0
cust100028,0.17,0
cust100029,0.26,0
cust100030,0.12,0
cust100031,0.15,0
cust100032,0.12,0
cust100033,0.1,0
cust100034,0.12,0
cust100035,0.2,0
cust100036,0.07,0
cust100037,0.23,0
cust100038,0.4,0
cust100039,0.29,0
cust100040,0.18,0
cust100041,0.09,0
cust100042,0.11,0
cust100043,0.4,0
cust100044,0.21,0
cust100045,0.12,0
cust100046,0.22,0
cust100047,0.45,0
cust100048,0.21,0
cust100049,0.27,0
cust100050,0.24,0
cust100051,0.16,0
cust100052,0.06,0
cust100053,0.16,0
cust100054,0.17,0
cust100055,0.27,0
cust100056,0.3,0
cust100057,0.31,1
cust100058,0.23,0
cust100059,0.31,0
cust100060,0.11,0
cust100061,0.35,0
cust100062,0.26,0
cust100063,0.16,0
cust100064,0.26,0
cust100065,0.19,0
cust100066,0.34,0
cust100067,0.38,0
cust100068,0.46,0
cust100069,0.03,0
cust100070,0.03,0
cust100071,0.14,0
cust100072,0.22,0
cust100073,0.31,0
cust100074,0.24,0
cust100075,0.0,0
cust100076,0.16,0
cust100077,0.3,0
cust100078,0.23,0
cust100079,0.29,0
cust100080,0.17,0
cust100081,0.18,0
cust100082,0.22,0
cust100083,0.25,0
cust100084,0.22,0
cust100085,0.21,0
cust100086,0.12,0
cust100087,0.25,0
cust100088,0.21,0
cust100089,0.34,0
cust100090,0.34,0
cust100091,0.22,0
cust100092,0.15,0
cust100093,0.12,0
cust100094,0.25,0
cust100095,0.21,0
cust100096,0.16,0
cust100097,0.21,0
cust100098,0.13,0
cust100099,0.28,0
cust100100,0.15,0
cust100101,0.35,0
cust100102,0.25,0
cust100103,0.27,0
cust100104,0.07,0
cust100105,0.22,0
cust100106,0.29,0
cust100107,0.09,1
cust100108,0.17,0
cust100109,0.2,0
cust100110,0.04,0
cust100111,0.24,0
cust100112,0.3,0
cust100113,0.1,0
cust100114,0.24,0
cust100115,0.04,0
cust100116,0.2,0
cust100117,0.01,0
cust100118,0.33,0
cust100119,0.25,0
cust100120,0.2,0
cust100121,0.11,1
cust100122,0.35,0
cust100123,0.44,0
cust100124,0.0,0
cust100125,0.35,0
cust100126,0.4,0
cust100127,0.24,0
cust100128,0.06,0
cust100129,0.3,1
cust100130,0.18,0
cust100131,0.13,0
cust100132,0.05,0
cust100133,0.27,0
cust100134,0.3,0
cust100135,0.13,0
cust100136,0.26,0
cust100137,0.06,0
cust100138,0.3,0
cust100139,0.21,0
cust100140,0.18,0
cust100141,0.19,0
cust100142,0.3,0
cust100143,0.29,0
cust100144,0.26,0
cust100145,0.22,0
cust100146,0.21,0
cust100147,0.27,0
cust100148,0.23,0
cust100149,0.28,0
cust100150,0.16,0
cust100151,0.0,0
cust100152,0.32,0
cust100153,0.46,0
cust100154,0.25,0
cust100155,0.19,0
cust100156,0.18,0
cust100157,0.19,0
cust100158,0.2,0
cust100159,0.07,0
cust100160,0.14,0
cust100161,0.08,0
cust100162,0.23,0
cust100163,0.16,0
cust100164,0.26,0
cust100165,0.18,0
cust100166,0.32,0
cust100167,0.23,0
cust100168,0.46,0
cust100169,0.0,0
cust100170,0.12,0
cust100171,0.31,0
cust100172,0.5,0
cust100173,0.17,0
cust100174,0.21,0
cust100175,0.17,0
cust100176,0.36,0
cust100177,0.17,0
cust100178,0.28,0
cust100179,0.16,0
cust100180,0.05,0
cust100181,0.24,0
cust100182,0.26,0
cust100183,0.36,0
cust100184,0.19,0
cust100185,0.13,0
cust100186,0.27,0
cust100187,0.23,0
cust100188,0.23,0
cust100189,0.19,0
cust100190,0.34,0
cust100191,0.24,0
cust100192,0.43,0
cust100193,0.33,0
cust100194,0.28,0
cust100195,0.0,0
cust100196,0.27,1
cust100197,0.25,0
cust100198,0.3,0
cust100199,0.33,0
cust100200,0.15,0
cust100201,0.3,0
cust100202,0.13,0
cust100203,0.43,0
cust100204,0.04,0
cust100205,0.0,0
cust100206,0.0,0
cust100207,0.09,0
cust100208,0.07,0
cust100209,0.43,0
cust100210,0.16,0
cust100211,0.04,0
cust100212,0.33,0
cust100213,0.13,0
cust100214,0.05,0
cust100215,0.31,0
cust100216,0.27,0
cust100217,0.15,0
cust100218,0.37,0
cust100219,0.22,0
cust100220,0.39,0
cust100221,0.26,1
cust100222,0.39,0
cust100223,0.21,0
cust100224,0.05,0
cust100225,0.49,1
cust100226,0.13,1
cust100227,0.18,0
cust100228,0.12,0
cust100229,0.18,0
cust100230,0.23,0
cust100231,0.22,0
cust100232,0.28,0
cust100233,0.42,0
cust100234,0.19,0
cust100235,0.05,0
cust100236,0.06,0
cust100237,0.12,0
cust100238,0.0,0
cust100239,0.3,0
cust100240,0.14,1
cust100241,0.16,0
cust100242,0.2,1
cust100243,0.03,0
cust100244,0.1,0
cust100245,0.28,0
cust100246,0.27,0
cust100247,0.15,0
cust100248,0.42,0
cust100249,0.04,0
cust100250,0.16,0
cust100251,0.17,0
cust100252,0.0,0
cust100253,0.43,0
cust100254,0.24,0
cust100255,0.07,0
cust100256,0.45,0
cust100257,0.27,0
cust100258,0.25,0
cust100259,0.13,0
cust100260,0.21,0
cust100261,0.02,0
cust100262,0.3,0
cust100263,0.16,0
cust100264,0.22,0
cust100265,0.34,0
cust100266,0.23,0
cust100267,0.23,0
cust100268,0.23,0
cust100269,0.11,0
cust100270,0.3,0
cust100271,0.39,0
cust100272,0.29,0
cust100273,0.31,0
cust100274,0.09,0
cust100275,0.1,0
cust100276,0.03,0
cust100277,0.35,0
cust100278,0.17,0
cust100279,0.37,0
cust100280,0.11,0
cust100281,0.15,0
cust100282,0.21,0
cust100283,0.31,0
cust100284,0.21,0
cust100285,0.23,0
cust100286,0.2,0
cust100287,0.22,0
cust100288,0.07,0
cust100289,0.21,0
cust100290,0.18,0
cust100291,0.19,0
cust100292,0.26,0
cust100293,0.12,0
cust100294,0.19,0
cust100295,0.16,0
cust100296,0.25,0
cust100297,0.29,0
cust100298,0.09,0
cust100299,0.27,0
cust100300,0.45,0
cust100301,0.02,0
cust100302,0.1,0
cust100303,0.09,0
cust100304,0.17,0
cust100305,0.39,0
cust100306,0.2,0
cust100307,0.12,0
cust100308,0.27,0
cust100309,0.13,0
cust100310,0.33,0
cust100311,0.24,0
cust100312,0.37,0
cust100313,0.12,0
cust100314,0.56,0
cust100315,0.3,0
cust100316,0.28,0
cust100317,0.19,0
cust100318,0.11,0
cust100319,0.1,0
cust100320,0.18,1
cust100321,0.1,0
cust100322,0.23,1
cust100323,0.1,0
cust100324,0.27,0
cust100325,0.31,0
cust100326,0.12,0
cust100327,0.34,0
cust100328,0.17,0
cust100329,0.34,0
cust100330,0.25,0
cust100331,0.33,0
cust100332,0.08,0
cust100333,0.19,0
cust100334,0.37,0
cust100335,0.13,0
cust100336,0.0,0
cust100337,0.0,0
cust100338,0.0,0
cust100339,0.0,0
cust100340,0.15,0
cust100341,0.35,0
cust100342,0.15,0
cust100343,0.24,0
cust100344,0.19,0
cust100345,0.2,0
cust100346,0.18,0
cust100347,0.18,0
cust100348,0.26,0
cust100349,0.06,0
cust100350,0.32,0
cust100351,0.31,0
cust100352,0.18,0
cust100353,0.3,0
cust100354,0.12,0
cust100355,0.14,0
cust100356,0.22,0
cust100357,0.18,0
cust100358,0.15,0
cust100359,0.12,0
cust100360,0.13,0
cust100361,0.31,0
cust100362,0.0,0
cust100363,0.24,0
cust100364,0.17,0
cust100365,0.29,0
cust100366,0.26,0
cust100367,0.0,0
cust100368,0.27,0
cust100369,0.24,0
cust100370,0.2,0
cust100371,0.14,0
cust100372,0.3,0
cust100373,0.15,0
cust100374,0.42,0
cust100375,0.27,0
cust100376,0.46,0
cust100377,0.11,0
cust100378,0.0,0
cust100379,0.29,0
cust100380,0.3,0
cust100381,0.2,0
cust100382,0.02,0
cust100383,0.15,0
cust100384,0.27,0
cust100385,0.18,0
cust100386,0.19,0
cust100387,0.18,1
cust100388,0.09,0
cust100389,0.14,0
cust100390,0.03,0
cust100391,0.41,0
cust100392,0.14,0
cust100393,0.26,0
cust100394,0.08,0
cust100395,0.3,0
cust100396,0.0,0
cust100397,0.31,0
cust100398,0.2,0
cust100399,0.45,0
cust100400,0.04,0
cust100401,0.21,0
cust100402,0.24,0
cust100403,0.35,0
cust100404,0.15,0
cust100405,0.21,0
cust100406,0.0,0
cust100407,0.1,0
cust100408,0.25,0
cust100409,0.33,0
cust100410,0.17,0
cust100411,0.45,0
cust100412,0.41,0
cust100413,0.19,0
cust100414,0.0,0
cust100415,0.0,0
cust100416,0.11,0
cust100417,0.33,0
cust100418,0.24,0
cust100419,0.0,0
cust100420,0.17,0
cust100421,0.39,1
cust100422,0.16,0
cust100423,0.11,0
cust100424,0.45,0
cust100425,0.21,0
cust100426,0.14,0
cust100427,0.24,0
cust100428,0.2,0
cust100429,0.15,0
cust100430,0.35,0
cust100431,0.33,0
cust100432,0.3,0
cust100433,0.19,0
cust100434,0.34,0
cust100435,0.19,0
cust100436,0.26,0
cust100437,0.32,0
cust100438,0.3,0
cust100439,0.41,0
cust100440,0.25,0
cust100441,0.0,0
cust100442,0.06,0
cust100443,0.36,1
cust100444,0.16,0
cust100445,0.25,0
cust100446,0.1,1
cust100447,0.32,0
cust100448,0.15,0
cust100449,0.37,0
cust100450,0.14,0
cust100451,0.33,0
cust100452,0.28,0
cust100453,0.11,0
cust100454,0.33,0
cust100455,0.09,0
cust100456,0.1,0
cust100457,0.29,0
cust100458,0.12,0
cust100459,0.13,0
cust100460,0.16,0
cust100461,0.08,0
cust100462,0.33,0
cust100463,0.27,0
cust100464,0.19,0
cust100465,0.19,0
cust100466,0.25,0
cust100467,0.41,0
cust100468,0.3,0
cust100469,0.14,0
cust100470,0.29,0
cust100471,0.19,0
cust100472,0.18,0
cust100473,0.42,0
cust100474,0.15,0
cust100475,0.14,0
cust100476,0.0,0
cust100477,0.03,0
cust100478,0.25,0
cust100479,0.12,0
cust100480,0.26,0
cust100481,0.07,0
cust100482,0.11,0
cust100483,0.28,0
cust100484,0.38,0
cust100485,0.27,0
cust100486,0.34,0
cust100487,0.4,0
cust100488,0.32,0
cust100489,0.09,0
cust100490,0.19,0
cust100491,0.28,0
cust100492,0.15,1
cust100493,0.25,0
cust100494,0.01,0
cust100495,0.1,0
cust100496,0.26,0
cust100497,0.0,0
cust100498,0.07,0
cust100499,0.2,0
cust100500,0.0,0
cust100501,0.21,0
cust100502,0.1,0
cust100503,0.17,0
cust100504,0.17,0
cust100505,0.22,0
cust100506,0.13,0
cust100507,0.21,0
cust100508,0.13,0
cust100509,0.27,0
cust100510,0.4,0
cust100511,0.22,0
cust100512,0.22,0
cust100513,0.06,0
cust100514,0.28,1
cust100515,0.11,0
cust100516,0.1,0
cust100517,0.27,0
cust100518,0.22,0
cust100519,0.33,0
cust100520,0.37,0
cust100521,0.14,0
cust100522,0.22,0
cust100523,0.41,0
cust100524,0.32,0
cust100525,0.29,0
cust100526,0.36,0
cust100527,0.13,0
cust100528,0.28,0
cust100529,0.37,0
cust100530,0.39,0
cust100531,0.1,0
cust100532,0.17,0
cust100533,0.25,0
cust100534,0.17,0
cust100535,0.15,0
cust100536,0.28,0
cust100537,0.16,0
cust100538,0.0,0
cust100539,0.24,0
cust100540,0.15,0
cust100541,0.11,0
cust100542,0.01,0
cust100543,0.32,0
cust100544,0.0,0
cust100545,0.0,0
cust100546,0.17,0
cust100547,0.35,0
cust100548,0.36,0
cust100549,0.06,0
cust100550,0.18,0
cust100551,0.02,0
cust100552,0.32,0
cust100553,0.02,0
cust100554,0.18,0
cust100555,0.32,0
cust100556,0.17,0
cust100557,0.38,0
cust100558,0.1,0
cust100559,0.24,0
cust100560,0.3,0
cust100561,0.18,0
cust100562,0.37,1
cust100563,0.27,0
cust100564,0.0,0
cust100565,0.68,0
cust100566,0.28,0
cust100567,0.21,0
cust100568,0.03,0
cust100569,0.21,1
cust100570,0.14,0
cust100571,0.28,0
cust100572,0.24,1
cust100573,0.42,0
cust100574,0.22,0
cust100575,0.26,0
cust100576,0.24,1
cust100577,0.18,0
cust100578,0.18,0
cust100579,0.33,0
cust100580,0.29,0
cust100581,0.12,0
cust100582,0.07,0
cust100583,0.19,0
cust100584,0.34,0
cust100585,0.2,0
cust100586,0.41,0
cust100587,0.11,0
cust100588,0.22,0
cust100589,0.0,0
cust100590,0.13,0
cust100591,0.16,0
cust100592,0.26,0
cust100593,0.41,0
cust100594,0.2,0
cust100595,0.37,0
cust100596,0.28,0
cust100597,0.32,0
cust100598,0.14,0
cust100599,0.37,0
cust100600,0.07,0
cust100601,0.26,0
cust100602,0.09,0
cust100603,0.14,0
cust100604,0.02,0
cust100605,0.14,0
cust100606,0.24,0
cust100607,0.19,0
cust100608,0.04,0
cust100609,0.38,0
cust100610,0.24,1
cust100611,0.32,0
cust100612,0.29,0
cust100613,0.12,1
cust100614,0.0,0
cust100615,0.09,0
cust100616,0.35,1
cust100617,0.07,0
cust100618,0.3,0
cust100619,0.13,0
cust100620,0.25,0
cust100621,0.0,0
cust100622,0.34,0
cust100623,0.2,0
cust100624,0.31,0
cust100625,0.22,0
cust100626,0.3,0
cust100627,0.19,0
cust100628,0.29,0
cust100629,0.02,0
cust100630,0.07,0
cust100631,0.29,0
cust100632,0.2,0
cust100633,0.17,0
cust100634,0.18,1
cust100635,0.26,0
cust100636,0.13,1
cust100637,0.26,0
cust100638,0.09,0
cust100639,0.15,0
cust100640,0.32,0
cust100641,0.33,0
cust100642,0.07,0
cust100643,0.3,0
cust100644,0.08,0
cust100645,0.29,0
cust100646,0.0,0
cust100647,0.07,0
cust100648,0.14,0
cust100649,0.18,0
cust100650,0.37,0
cust100651,0.31,0
cust100652,0.39,0
cust100653,0.34,0
cust100654,0.17,0
cust100655,0.17,0
cust100656,0.33,0
cust100657,0.2,0
cust100658,0.18,0
cust100659,0.04,0
cust100660,0.19,0
cust100661,0.0,0
cust100662,0.15,0
cust100663,0.08,0
cust100664,0.28,0
cust100665,0.14,0
cust100666,0.16,0
cust100667,0.36,0
cust100668,0.07,0
cust100669,0.24,0
cust100670,0.0,0
cust100671,0.21,0
cust100672,0.25,0
cust100673,0.3,0
cust100674,0.09,0
cust100675,0.24,0
cust100676,0.24,0
cust100677,0.2,0
cust100678,0.22,0
cust100679,0.26,0
cust100680,0.25,0
cust100681,0.08,0
cust100682,0.06,0
cust100683,0.5,0
cust100684,0.43,0
cust100685,0.03,0
cust100686,0.25,0
cust100687,0.28,0
cust100688,0.29,0
cust100689,0.22,0
cust100690,0.09,0
cust100691,0.18,0
cust100692,0.14,0
cust100693,0.22,0
cust100694,0.17,0
cust100695,0.18,0
cust100696,0.32,0
cust100697,0.35,0
cust100698,0.06,0
cust100699,0.14,0
cust100700,0.11,1
cust100701,0.35,0
cust100702,0.19,1
cust100703,0.37,0
cust100704,0.14,0
cust100705,0.2,0
