merchant_id,merchant_type,success_rate,total_txn
merch1000,grocery,0.9354838709677419,62
merch1001,online,0.9666666666666667,60
merch1002,food,0.8769230769230769,65
merch1003,grocery,0.9402985074626866,67
merch1004,food,0.9375,80
merch1005,food,0.9122807017543859,57
merch1006,electronics,0.9365079365079365,63
merch1007,food,0.9464285714285714,56
merch1008,food,0.9642857142857143,56
merch1009,food,0.92,50
merch1010,apparel,0.9365079365079365,63
merch1011,electronics,0.9122807017543859,57
merch1012,grocery,0.9696969696969697,66
merch1013,apparel,0.9607843137254902,51
merch1014,electronics,0.9122807017543859,57
merch1015,electronics,0.9166666666666666,60
merch1016,online,0.875,56
merch1017,transport,0.9655172413793104,58
merch1018,apparel,0.9726027397260274,73
merch1019,transport,0.9078947368421053,76
merch1020,apparel,0.9622641509433962,53
merch1021,food,0.8627450980392157,51
merch1022,electronics,0.8947368421052632,57
merch1023,apparel,0.9661016949152542,59
merch1024,apparel,0.927536231884058,69
merch1025,grocery,0.9056603773584906,53
merch1026,apparel,0.9122807017543859,57
merch1027,transport,0.96875,64
merch1028,apparel,0.9090909090909091,55
merch1029,grocery,0.9264705882352942,68
merch1030,apparel,0.9428571428571428,70
merch1031,apparel,0.9056603773584906,53
merch1032,grocery,0.9056603773584906,53
merch1033,food,0.94,50
merch1034,food,0.9047619047619048,63
merch1035,transport,0.9333333333333333,60
merch1036,food,0.98,50
merch1037,online,0.9210526315789473,38
merch1038,transport,0.953125,64
merch1039,electronics,0.9242424242424242,66
merch1040,transport,0.9444444444444444,54
merch1041,grocery,0.9545454545454546,44
merch1042,apparel,0.9482758620689655,58
merch1043,apparel,0.9137931034482759,58
merch1044,apparel,0.9259259259259259,54
merch1045,electronics,0.9714285714285714,70
merch1046,electronics,0.8524590163934426,61
merch1047,apparel,0.9666666666666667,60
merch1048,grocery,0.9166666666666666,48
merch1049,grocery,0.9027777777777778,72
merch1050,electronics,0.8548387096774194,62
merch1051,transport,0.8837209302325582,43
merch1052,electronics,0.9180327868852459,61
merch1053,grocery,0.9375,64
merch1054,apparel,0.8769230769230769,65
merch1055,electronics,0.9245283018867925,53
merch1056,grocery,0.8636363636363636,66
merch1057,transport,0.8947368421052632,57
merch1058,transport,0.9850746268656716,67
merch1059,grocery,0.9444444444444444,54
merch1060,food,0.8727272727272727,55
merch1061,grocery,0.9242424242424242,66
merch1062,online,0.8852459016393442,61
merch1063,apparel,0.8596491228070176,57
merch1064,electronics,0.890625,64
merch1065,grocery,0.9047619047619048,63
merch1066,online,0.90625,64
merch1067,electronics,0.9253731343283582,67
merch1068,grocery,0.9387755102040817,49
merch1069,online,0.8870967741935484,62
merch1070,online,0.9491525423728814,59
merch1071,food,0.9836065573770492,61
merch1072,transport,0.8596491228070176,57
merch1073,electronics,0.9066666666666666,75
merch1074,apparel,0.9454545454545454,55
merch1075,food,0.875,56
merch1076,apparel,0.921875,64
merch1077,apparel,0.9714285714285714,70
merch1078,apparel,0.9038461538461539,52
merch1079,food,0.9242424242424242,66
merch1080,food,0.9090909090909091,66
merch1081,grocery,0.9402985074626866,67
merch1082,grocery,0.9038461538461539,52
merch1083,online,0.9152542372881356,59
merch1084,online,0.8679245283018868,53
merch1085,online,0.9215686274509803,51
merch1086,food,0.9591836734693877,49
merch1087,electronics,0.9253731343283582,67
merch1088,transport,0.8571428571428571,63
merch1089,online,0.9272727272727272,55
merch1090,food,0.9482758620689655,58
merch1091,electronics,0.9285714285714286,56
merch1092,online,0.9038461538461539,52
merch1093,grocery,0.8305084745762712,59
merch1094,grocery,0.9574468085106383,47
merch1095,apparel,0.9814814814814815,54
merch1096,electronics,0.9142857142857143,70
merch1097,grocery,0.9444444444444444,72
merch1098,online,0.9649122807017544,57
merch1099,apparel,0.9264705882352942,68
merch1100,food,0.9642857142857143,56
merch1101,online,0.9253731343283582,67
merch1102,online,0.8923076923076924,65
merch1103,apparel,0.9206349206349206,63
merch1104,food,0.8928571428571429,56
merch1105,apparel,0.9166666666666666,60
merch1106,transport,0.9122807017543859,57
merch1107,electronics,0.8596491228070176,57
merch1108,transport,0.9107142857142857,56
merch1109,transport,0.9824561403508771,57
merch1110,online,0.8518518518518519,54
merch1111,online,0.9076923076923077,65
merch1112,apparel,0.9552238805970149,67
merch1113,apparel,0.9558823529411765,68
merch1114,food,0.8913043478260869,46
merch1115,online,0.9148936170212766,47
merch1116,food,0.9393939393939394,66
merch1117,apparel,0.9178082191780822,73
merch1118,food,0.9491525423728814,59
merch1119,apparel,0.9137931034482759,58
merch1120,transport,0.8983050847457628,59
merch1121,food,0.9054054054054054,74
merch1122,apparel,0.875,56
merch1123,electronics,0.9122807017543859,57
merch1124,electronics,0.9264705882352942,68
merch1125,grocery,0.9259259259259259,54
merch1126,apparel,0.9310344827586207,58
merch1127,food,0.9636363636363636,55
merch1128,electronics,0.8909090909090909,55
